domain,comparison,from_index,to_index,count
PBS,REF-A_full_vs_REF-C_disjoint_four,8,10,1
PBS,REF-A_full_vs_REF-C_disjoint_four,8,12,2
PBS,REF-A_full_vs_REF-C_disjoint_four,9,9,7
PBS,REF-A_full_vs_REF-C_disjoint_four,9,11,1
PBS,REF-A_full_vs_REF-C_disjoint_four,10,10,3
PBS,REF-A_full_vs_REF-C_disjoint_four,10,11,1
PBS,REF-A_full_vs_REF-C_disjoint_four,10,12,1
PBS,REF-A_full_vs_REF-C_disjoint_four,11,11,1
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,1,1,9
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,3,3,7
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,6,3,1
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,7,1,1
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,7,7,12
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_tenengrad_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,1,1,8
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,3,7
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,1,1
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,3,1
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,1,1
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,7,12
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_brenner_gradient_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,1,1,8
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,1,7,1
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,3,1,1
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,3,3,8
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,1,1
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,7,1
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,7,10
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,1,1,8
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,1,7,1
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,3,1,1
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,3,3,8
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,1,1
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,7,1
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,7,10
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,1,1,10
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,1,7,1
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,3,3,8
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,7,7,11
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_normalized_variance_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,1,1,9
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,3,7
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,3,1
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,1,1
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,7,12
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_energy_of_gradient_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,1,1,8
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,1,7,1
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,3,1,1
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,3,3,8
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,1,1
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,7,1
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,7,10
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_histogram_entropy_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,1,8
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,7,1
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,3,1,1
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,3,3,8
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,1,1
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,7,1
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,7,10
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_glcm_contrast_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,1,1,9
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,3,7
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,3,1
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,1,1
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,7,12
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_variance_of_gradient_vs_REF-A_full,11,11,1
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,1,1,9
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,2,2,6
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,3,7
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,4,6
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,5,3
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,3,1
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,6,6
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,1,1
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,7,12
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,8,12
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,9,9,8
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,10,10,5
PBS,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,11,11,1
BMA,REF-A_full_vs_REF-B_corrected_ten,1,1,5
BMA,REF-A_full_vs_REF-B_corrected_ten,3,3,7
BMA,REF-A_full_vs_REF-B_corrected_ten,4,4,2
BMA,REF-A_full_vs_REF-B_corrected_ten,5,5,4
BMA,REF-A_full_vs_REF-B_corrected_ten,7,7,4
BMA,REF-A_full_vs_REF-B_corrected_ten,8,8,9
BMA,REF-A_full_vs_REF-B_corrected_ten,9,9,5
BMA,REF-A_full_vs_REF-B_corrected_ten,10,10,2
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,1,5
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,3,7
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,4,2
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,5,4
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,7,3
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,8,1
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,8,8
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,9,1
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,9,9,5
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,10,10,2
BMA,REF-A_full_vs_REF-C_disjoint_four,1,1,5
BMA,REF-A_full_vs_REF-C_disjoint_four,3,3,7
BMA,REF-A_full_vs_REF-C_disjoint_four,4,4,2
BMA,REF-A_full_vs_REF-C_disjoint_four,5,5,4
BMA,REF-A_full_vs_REF-C_disjoint_four,7,7,3
BMA,REF-A_full_vs_REF-C_disjoint_four,7,8,1
BMA,REF-A_full_vs_REF-C_disjoint_four,8,8,8
BMA,REF-A_full_vs_REF-C_disjoint_four,8,9,1
BMA,REF-A_full_vs_REF-C_disjoint_four,9,9,5
BMA,REF-A_full_vs_REF-C_disjoint_four,10,10,2
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,10,10,2
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,1,1,5
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,3,7
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,4,2
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,5,4
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,7,4
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,8,9
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,9,9,5
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,10,10,2
TBF,REF-A_full_vs_REF-B_corrected_ten,4,4,23
TBF,REF-A_full_vs_REF-B_corrected_ten,5,5,45
TBF,REF-A_full_vs_REF-B_corrected_ten,6,6,57
TBF,REF-A_full_vs_REF-B_corrected_ten,7,7,50
TBF,REF-A_full_vs_REF-B_corrected_ten,8,8,6
TBF,REF-A_full_vs_REF-B_corrected_ten,9,9,1
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,4,17
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,5,6
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,5,40
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,6,5
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,6,54
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,7,3
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,7,49
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,8,1
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,8,6
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,9,9,1
TBF,REF-A_full_vs_REF-C_disjoint_four,4,4,17
TBF,REF-A_full_vs_REF-C_disjoint_four,4,5,6
TBF,REF-A_full_vs_REF-C_disjoint_four,5,5,40
TBF,REF-A_full_vs_REF-C_disjoint_four,5,6,5
TBF,REF-A_full_vs_REF-C_disjoint_four,6,6,54
TBF,REF-A_full_vs_REF-C_disjoint_four,6,7,3
TBF,REF-A_full_vs_REF-C_disjoint_four,7,7,49
TBF,REF-A_full_vs_REF-C_disjoint_four,7,8,1
TBF,REF-A_full_vs_REF-C_disjoint_four,8,8,6
TBF,REF-A_full_vs_REF-C_disjoint_four,9,9,1
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,5,5,41
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,6,6,54
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,7,6,3
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,12,5,4
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,4,22
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,5,41
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,6,55
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,6,2
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,12,4,1
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,12,5,4
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,5,45
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,6,57
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,5,45
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,6,57
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,4,4,22
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,4,5,1
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,5,5,44
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,6,6,57
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,12,4,1
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,5,41
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,6,54
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,6,3
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,12,5,4
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,5,45
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,6,57
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,4,23
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,5,45
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,6,57
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,4,22
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,5,1
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,5,43
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,6,54
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,6,3
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,12,4,1
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,12,5,1
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,4,22
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,5,1
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,5,41
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,6,54
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,6,3
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,7,50
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,8,6
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,9,9,1
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,12,4,1
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,12,5,3
